   1: UNIQUE_HIDEOUT                                                   : Hideout Construction Kit
 126: T5_CABBAGE                                                       : Cabbage
 127: T6_POTATO                                                        : Potatoes
 128: T7_CORN                                                          : Bundle of Corn
 129: T8_PUMPKIN                                                       : Pumpkin
 130: T2_AGARIC                                                        : Arcane Agaric
 131: T3_COMFREY                                                       : Brightleaf Comfrey
 132: T4_BURDOCK                                                       : Crenellated Burdock
 133: T5_TEASEL                                                        : Dragon Teasel
 134: T6_FOXGLOVE                                                      : Elusive Foxglove
 135: T7_MULLEIN                                                       : Firetouched Mullein
 136: T8_YARROW                                                        : Ghoul Yarrow
 137: T3_EGG                                                           : Hen Eggs
 138: T4_MILK                                                          : Goat's Milk
 139: T5_EGG                                                           : Goose Eggs
 140: T6_MILK                                                          : Sheep's Milk
 141: T8_MILK                                                          : Cow's Milk
 142: T1_FISH_FRESHWATER_ALL_COMMON                                    : Common Rudd
 143: T2_FISH_FRESHWATER_ALL_COMMON                                    : Striped Carp
 144: T3_FISH_FRESHWATER_ALL_COMMON                                    : Albion Perch
 145: T4_FISH_FRESHWATER_ALL_COMMON                                    : Bluescale Pike
 146: T5_FISH_FRESHWATER_ALL_COMMON                                    : Spotted Trout
 147: T6_FISH_FRESHWATER_ALL_COMMON                                    : Brightscale Zander
 148: T7_FISH_FRESHWATER_ALL_COMMON                                    : Danglemouth Catfish
 149: T8_FISH_FRESHWATER_ALL_COMMON                                    : River Sturgeon
 150: T1_FISH_SALTWATER_ALL_COMMON                                     : Common Herring
 151: T2_FISH_SALTWATER_ALL_COMMON                                     : Striped Mackerel
 152: T3_FISH_SALTWATER_ALL_COMMON                                     : Flatshore Plaice
 153: T4_FISH_SALTWATER_ALL_COMMON                                     : Bluescale Cod
 154: T5_FISH_SALTWATER_ALL_COMMON                                     : Spotted Wolffish
 155: T6_FISH_SALTWATER_ALL_COMMON                                     : Strongfin Salmon
 156: T7_FISH_SALTWATER_ALL_COMMON                                     : Bluefin Tuna
 157: T8_FISH_SALTWATER_ALL_COMMON                                     : Steelscale Swordfish
 158: T3_FISH_FRESHWATER_FOREST_RARE                                   : Greenriver Eel
 159: T5_FISH_FRESHWATER_FOREST_RARE                                   : Redspring Eel
 160: T7_FISH_FRESHWATER_FOREST_RARE                                   : Deadwater Eel
 161: T3_FISH_FRESHWATER_MOUNTAIN_RARE                                 : Upland Coldeye
 162: T5_FISH_FRESHWATER_MOUNTAIN_RARE                                 : Mountain Blindeye
 163: T7_FISH_FRESHWATER_MOUNTAIN_RARE                                 : Frostpeak Deadeye
 164: T3_FISH_FRESHWATER_HIGHLANDS_RARE                                : Stonestream Lurcher
 165: T5_FISH_FRESHWATER_HIGHLANDS_RARE                                : Rushwater Lurcher
 166: T7_FISH_FRESHWATER_HIGHLANDS_RARE                                : Thunderfall Lurcher
 167: T3_FISH_FRESHWATER_STEPPE_RARE                                   : Lowriver Crab
 168: T5_FISH_FRESHWATER_STEPPE_RARE                                   : Drybrook Crab
 169: T7_FISH_FRESHWATER_STEPPE_RARE                                   : Dusthole Crab
 170: T3_FISH_FRESHWATER_SWAMP_RARE                                    : Greenmoor Clam
 171: T5_FISH_FRESHWATER_SWAMP_RARE                                    : Murkwater Clam
 172: T7_FISH_FRESHWATER_SWAMP_RARE                                    : Blackbog Clam
 173: T3_FISH_SALTWATER_ALL_RARE                                       : Shallowshore Squid
 174: T5_FISH_SALTWATER_ALL_RARE                                       : Midwater Octopus
 175: T7_FISH_SALTWATER_ALL_RARE                                       : Deepwater Kraken
 176: T3_FISH_FRESHWATER_AVALON_RARE                                   : Whitefog Snapper
 177: T5_FISH_FRESHWATER_AVALON_RARE                                   : Clearhaze Snapper
 178: T7_FISH_FRESHWATER_AVALON_RARE                                   : Puremist Snapper
 179: T1_SEAWEED                                                       : Seaweed
 180: T8_FISH_SALTWATER_ALL_BOSS_SHARK                                 : Shark
 181: T1_FISHCHOPS                                                     : Chopped Fish
 182: T1_FISHSAUCE_LEVEL1                                              : Basic Fish Sauce
 183: T1_FISHSAUCE_LEVEL2                                              : Fancy Fish Sauce
 184: T1_FISHSAUCE_LEVEL3                                              : Special Fish Sauce
 185: TREASURE_KNOWLEDGE_RARITY1                                       : Corrupted Scroll
 186: TREASURE_KNOWLEDGE_RARITY2                                       : Thin Booklet
 187: TREASURE_KNOWLEDGE_RARITY3                                       : Ancient Tome
 188: TREASURE_SILVERWARE_RARITY1                                      : Silver Cup
 189: TREASURE_SILVERWARE_RARITY2                                      : Silver Mirror
 190: TREASURE_SILVERWARE_RARITY3                                      : Silver Candelabrum
 191: TREASURE_DECORATIVE_RARITY1                                      : Simple Stone Toy
 192: TREASURE_DECORATIVE_RARITY2                                      : Stone Mask
 193: TREASURE_DECORATIVE_RARITY3                                      : Stone Idol
 194: TREASURE_CEREMONIAL_RARITY1                                      : Ornamental Scepter
 195: TREASURE_CEREMONIAL_RARITY2                                      : Globus Cruciger
 196: TREASURE_CEREMONIAL_RARITY3                                      : Golden Crown
 197: TREASURE_TRIBAL_RARITY1                                          : Feather Talisman
 198: TREASURE_TRIBAL_RARITY2                                          : Dreamcatcher
 199: TREASURE_TRIBAL_RARITY3                                          : Holy Fetish
 200: TREASURE_RITUAL_RARITY1                                          : Ritual Candles
 201: TREASURE_RITUAL_RARITY2                                          : Blood Chalice
 202: TREASURE_RITUAL_RARITY3                                          : Sacrificial Dagger
 203: TREASURE_AVALON_RARITY1                                          : Golden Frame
 204: TREASURE_AVALON_RARITY2                                          : Golden Gyroscope
 205: TREASURE_AVALON_RARITY3                                          : Golden Sextant
 206: QUESTITEM_TUTORIAL_HERETIC_PLANS                                 
 207: QUESTITEM_TRANSFER_LETTER                                        : Letter of Transfer
 208: QUESTITEM_LIGHT_BLUEPRINTS                                       : Delivery: Blueprints
 209: QUESTITEM_LIGHT_MANUSCRIPTS                                      : Delivery: Artistic Manuscripts
 210: QUESTITEM_LIGHT_SURVEYS                                          : Delivery: Geomantic Surveys
 211: QUESTITEM_HEAVY_MORTAR                                           : Delivery: Mortar
 212: QUESTITEM_HEAVY_CRATE                                            : Delivery: Crates
 213: QUESTITEM_HEAVY_BARREL                                           : Delivery: Barrels
 214: QUESTITEM_LIGHT_FUR                                              : Delivery: Heavy Fur
 215: QUESTITEM_LIGHT_THEPACKAGE                                       : Delivery: "The Package"
 216: QUESTITEM_LIGHT_PATROLROUTE                                      : Delivery: Patrol Route
 217: QUESTITEM_HEAVY_MOONSHINE                                        : Delivery: Geoff the Brigand's All-Natural Enriched Moonshine
 218: QUESTITEM_LIGHT_KITTENS                                          : Delivery: Sack of Kittens
 219: QUESTITEM_LIGHT_BEES                                             : Delivery: Beehives
 220: QUESTITEM_LIGHT_OLDCLOTHES                                       : Delivery: Old Clothes
 221: QUESTITEM_HEAVY_FARMTOOLS                                        : Delivery: Farmyard Tools
 222: QUESTITEM_HEAVY_MANURE                                           : Delivery: Pile of Manure
 223: QUESTITEM_LIGHT_ASSASSINATION                                    : Delivery: Assassination Order
 224: QUESTITEM_LIGHT_CASUALTIES                                       : Delivery: Casualty Report
 225: QUESTITEM_LIGHT_RINGS                                            : Delivery: Regimental Rings
 226: QUESTITEM_HEAVY_MEDICAL                                          : Delivery: Medical Supplies
 227: QUESTITEM_HEAVY_FIREBARREL                                       : Delivery: Sensitive Barrels
 228: QUESTITEM_CARAVAN_TRADEPACK_CAERLEON_LIGHT                       
 229: QUESTITEM_CARAVAN_TRADEPACK_CAERLEON_MEDIUM                      
 230: QUESTITEM_CARAVAN_TRADEPACK_CAERLEON_HEAVY                       
 231: QUESTITEM_CARAVAN_TRADEPACK_SWAMP_LIGHT                          
 232: QUESTITEM_CARAVAN_TRADEPACK_SWAMP_MEDIUM                         
 233: QUESTITEM_CARAVAN_TRADEPACK_SWAMP_HEAVY                          
 234: QUESTITEM_CARAVAN_TRADEPACK_FOREST_LIGHT                         
 235: QUESTITEM_CARAVAN_TRADEPACK_FOREST_MEDIUM                        
 236: QUESTITEM_CARAVAN_TRADEPACK_FOREST_HEAVY                         
 237: QUESTITEM_CARAVAN_TRADEPACK_STEPPE_LIGHT                         
 238: QUESTITEM_CARAVAN_TRADEPACK_STEPPE_MEDIUM                        
 239: QUESTITEM_CARAVAN_TRADEPACK_STEPPE_HEAVY                         
 240: QUESTITEM_CARAVAN_TRADEPACK_HIGHLAND_LIGHT                       
 241: QUESTITEM_CARAVAN_TRADEPACK_HIGHLAND_MEDIUM                      
 242: QUESTITEM_CARAVAN_TRADEPACK_HIGHLAND_HEAVY                       
 243: QUESTITEM_CARAVAN_TRADEPACK_MOUNTAIN_LIGHT                       
 244: QUESTITEM_CARAVAN_TRADEPACK_MOUNTAIN_MEDIUM                      
 245: QUESTITEM_CARAVAN_TRADEPACK_MOUNTAIN_HEAVY                       
 246: QUESTITEM_TOKEN_ARENA_UNRANKED                                   : Arena Sigil
 247: QUESTITEM_TOKEN_ARENA_CRYSTAL                                    
 248: QUESTITEM_TOKEN_AVALON                                           : Avalonian Energy
 249: QUESTITEM_TOKEN_MISTS                                            : Faerie Fire
 250: QUESTITEM_TOKEN_SMUGGLER                                         : Smuggler's Coin
 251: QUESTITEM_STANDING_SMUGGLER                                      : Buy a round
 252: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_WINTER_EVENT                   
 253: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 254: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 255: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 256: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 257: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 258: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 259: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 260: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 261: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_UNDEAD_RECRUITMENT             
 262: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 263: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 264: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 265: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 266: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 267: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 268: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 269: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 270: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_UNDEAD_RECRUITMENT            
 271: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 272: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 273: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 274: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 275: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 276: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 277: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 278: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 279: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_HERETIC_FISHYBUSINESS          
 280: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 281: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 282: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 283: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 284: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 285: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 286: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 287: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 288: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_HERETIC_FISHYBUSINESS         
 289: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_KEEPER_STONEWARS               
 290: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_KEEPER_STONEWARS               
 291: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_KEEPER_STONEWARS               
 292: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_KEEPER_STONEWARS               
 293: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_KEEPER_STONEWARS               
 294: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_KEEPER_STONEWARS               
 295: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_KEEPER_STONEWARS               
 296: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_KEEPER_STONEWARS               
 297: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_KEEPER_STONEWARS               
 298: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_KEEPER_STONEWARS              
 299: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_KEEPER_STONEWARS              
 300: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_KEEPER_STONEWARS              
 301: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_KEEPER_STONEWARS              
 302: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_KEEPER_STONEWARS              
 303: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_KEEPER_STONEWARS              
 304: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_KEEPER_STONEWARS              
 305: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_KEEPER_STONEWARS              
 306: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_KEEPER_STONEWARS              
 307: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 308: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 309: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 310: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 311: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 312: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 313: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 314: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 315: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_HERETIC_LUMBERCAMP             
 316: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 317: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 318: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 319: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 320: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 321: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 322: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 323: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 324: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_HERETIC_LUMBERCAMP            
 325: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 326: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 327: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 328: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 329: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 330: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 331: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 332: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 333: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_UNDEAD_SEWERSCRYPT             
 334: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 335: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 336: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 337: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 338: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 339: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 340: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 341: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
 342: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_UNDEAD_SEWERSCRYPT            
